Declined	Declination	Number	Gender	Word	Translation	State	End	Case
światu	Dative	Singular	Masculine	świat	world		-C	-C
rokowi	Dative	Singular	Masculine	rok	year	Impersonal	-C	-C
doktorowi	Dative	Singular	Masculine	doktor	doctor	Personal	-C	-C
koszmarowi	Dative	Singular	Masculine	koszmar	nightmare	Impersonal	-C	-C
metrowi	Dative	Singular	Masculine	metr	meter	Impersonal	-C	-C
obiadowi	Dative	Singular	Masculine	obiad	dinner		-C	-C
serowi	Dative	Singular	Masculine	ser	cheese		-C	-C
butowi	Dative	Singular	Masculine	but	shoe	Impersonal	-C	-C
długopisowi	Dative	Singular	Masculine	długopis	pen	Impersonal	-C	-C
długopisie	Locative	Singular	Masculine	długopis	pen	Impersonal	-C	-C
kolorowi	Dative	Singular	Masculine	kolor	colour	Impersonal	-C	-C
listowi	Dative	Singular	Masculine	list	letter	Impersonal	-C	-C
samochodowi	Dative	Singular	Masculine	samochód	car		-C	-C
synowi	Dative	Singular	Masculine	syn	son	Personal	-C	-C
kotowi	Dative	Singular	Masculine	kot	cat		-C	-C
buziakowi	Dative	Singular	Masculine	buziak	kiss	Impersonal	-C	-C
kelnerowi	Dative	Singular	Masculine	kelner	waiter	Personal	-C	-C
pomidorowi	Dative	Singular	Masculine	pomidor	tomato	Impersonal	-C	-C
ptakowi	Dative	Singular	Masculine	ptak	bird		-C	-C
problemowi	Dative	Singular	Masculine	problem	problem	Impersonal	-C	-C
problemie	Locative	Singular	Masculine	problem	problem	Impersonal	-C	-C
kwiatowi	Dative	Singular	Masculine	kwiat	flower		-C	-C
stołowi	Dative	Singular	Masculine	stół	table		-C	-C
pociągowi	Dative	Singular	Masculine	pociąg	train	Impersonal	-C	-C
chlebowi	Dative	Singular	Masculine	chleb	bread	Impersonal	-C	-C
chlebie	Locative	Singular	Masculine	chleb	bread	Impersonal	-C	-C
burakowi	Dative	Singular	Masculine	burak	beetroot	Impersonal	-C	-C
pająkowi	Dative	Singular	Masculine	pająk	spider		-C	-C
wieczorowi	Dative	Singular	Masculine	wieczór	evening	Impersonal	-C	-C
samochodzie	Locative	Singular	Masculine	samochód	car		-C	-d
pociągiem	Instrumental	Singular	Masculine	pociąg	train	Impersonal	-C	-g
pociągu	Locative	Singular	Masculine	pociąg	train	Impersonal	-C	-g
pokojowi	Dative	Singular	Masculine	pokój	room		-Ś	-j
pokojem	Instrumental	Singular	Masculine	pokój	room		-Ś	-j
rokiem	Instrumental	Singular	Masculine	rok	year	Impersonal	-C	-k
roku	Locative	Singular	Masculine	rok	year	Impersonal	-C	-k
buziakiem	Instrumental	Singular	Masculine	buziak	kiss	Impersonal	-C	-k
ptakiem	Instrumental	Singular	Masculine	ptak	bird		-C	-k
buziaku	Locative	Singular	Masculine	buziak	kiss	Impersonal	-C	-k
ptaku	Locative	Singular	Masculine	ptak	bird		-C	-k
burakiem	Instrumental	Singular	Masculine	burak	beetroot	Impersonal	-C	-k
pająkiem	Instrumental	Singular	Masculine	pająk	spider		-C	-k
buraku	Locative	Singular	Masculine	burak	beetroot	Impersonal	-C	-k
pająku	Locative	Singular	Masculine	pająk	spider		-C	-k
doktorze	Locative	Singular	Masculine	doktor	doctor	Personal	-C	-r
koszmarze	Locative	Singular	Masculine	koszmar	nightmare	Impersonal	-C	-r
metrze	Locative	Singular	Masculine	metr	meter	Impersonal	-C	-r
serze	Locative	Singular	Masculine	ser	cheese		-C	-r
kolorze	Locative	Singular	Masculine	kolor	colour	Impersonal	-C	-r
kelnerze	Locative	Singular	Masculine	kelner	waiter	Personal	-C	-r
pomidorze	Locative	Singular	Masculine	pomidor	tomato	Impersonal	-C	-r
wieczorze	Locative	Singular	Masculine	wieczór	evening	Impersonal	-C	-r
nożowi	Dative	Singular	Masculine	nóż	knife		-S	-S
pomarańczowi	Dative	Singular	Masculine	pomarańcz	orange		-S	-S
talerzowi	Dative	Singular	Masculine	talerz	plate		-S	-S
nożu	Locative	Singular	Masculine	nóż	knife		-S	-S
pomarańczu	Locative	Singular	Masculine	pomarańcz	orange		-S	-S
talerzu	Locative	Singular	Masculine	talerz	plate		-S	-S
przyjacielowi	Dative	Singular	Masculine	przyjaciel	friend		-S	-S
przyjacielu	Locative	Singular	Masculine	przyjaciel	friend		-S	-S
owocowi	Dative	Singular	Masculine	owoc	fruit	Impersonal	-S	-S
owocu	Locative	Singular	Masculine	owoc	fruit	Impersonal	-S	-S
kluczowi	Dative	Singular	Masculine	klucz	key		-S	-S
kluczu	Locative	Singular	Masculine	klucz	key		-S	-S
deszczowi	Dative	Singular	Masculine	deszcz	rain		-S	-S
deszczu	Locative	Singular	Masculine	deszcz	rain		-S	-S
miesiącowi	Dative	Singular	Masculine	miesiąc	month	Impersonal	-S	-S
miesiącu	Locative	Singular	Masculine	miesiąc	month	Impersonal	-S	-S
kapeluszowi	Dative	Singular	Masculine	kapelusz	hat		-S	-S
kapeluszu	Locative	Singular	Masculine	kapelusz	hat		-S	-S
