Décliné	Déclinaison	Nombre	Genre	Nom	Translation	Personal	Cas
lodówkę	Accusative	Singular	Feminine	lodówka	fridge	Impersonal	-a
lodówką	Instrumental	Singular	Feminine	lodówka	fridge	Impersonal	*
lodówki	Genitive	Singular	Feminine	lodówka	fridge	Impersonal	k-
lodówkom	Dative	Plural	Feminine	lodówka	fridge	Impersonal	*
lodówkami	Instrumental	Plural	Feminine	lodówka	fridge	Impersonal	*
lodówkach	Locative	Plural	Feminine	lodówka	fridge	Impersonal	*
lodówki	Accusative	Plural	Feminine	lodówka	fridge	Impersonal	k-
lodówce	Dative	Singular	Feminine	lodówka	fridge	Impersonal	k-
lodówce	Locative	Singular	Feminine	lodówka	fridge	Impersonal	k-
lodówek	Genitive	Plural	Feminine	lodówka	fridge	Impersonal	k-
agresje	Nominative	Plural	Feminine	agresja	aggression	Impersonal	j-
lodówki	Nominative	Plural	Feminine	lodówka	fridge	Impersonal	k-
akumulatorowi	Dative	Singular	Masculine	akumulator	battery	Impersonal	-C
akumulatorze	Locative	Singular	Masculine	akumulator	battery	Impersonal	-r
akumulatorem	Instrumental	Singular	Masculine	akumulator	battery	Impersonal	*
akumulator	Accusative	Singular	Masculine	akumulator	battery	Impersonal	Ⱥ
akumulatora	Genitive	Singular	Masculine	akumulator	battery	Impersonal	α (tool)
akumulatorom	Dative	Plural	Masculine	akumulator	battery	Impersonal	*
akumulatorów	Genitive	Plural	Masculine	akumulator	battery	Impersonal	*
akumulatorami	Instrumental	Plural	Masculine	akumulator	battery	Impersonal	*
akumulatorach	Locative	Plural	Masculine	akumulator	battery	Impersonal	*
akumulatory	Nominative	Plural	Masculine	akumulator	battery	Impersonal	Ᵽ-C
akumulatory	Accusative	Plural	Masculine	akumulator	battery	Impersonal	Ᵽ: -C
agresję	Accusative	Singular	Feminine	agresja	aggression	Impersonal	-a
agresją	Instrumental	Singular	Feminine	agresja	aggression	Impersonal	*
agresji	Dative	Singular	Feminine	agresja	aggression	Impersonal	j-
agresji	Genitive	Singular	Feminine	agresja	aggression	Impersonal	j-
agresji	Locative	Singular	Feminine	agresja	aggression	Impersonal	j-
agresjom	Dative	Plural	Feminine	agresja	aggression	Impersonal	*
agresjami	Instrumental	Plural	Feminine	agresja	aggression	Impersonal	*
agresjach	Locative	Plural	Feminine	agresja	aggression	Impersonal	*
agresje	Accusative	Plural	Feminine	agresja	aggression	Impersonal	j-
agresji	Genitive	Plural	Feminine	agresja	aggression	Impersonal	j-
